10MAINBKGRP20260610IE12BOFI90000098765432EUR
20TX-2027-000120260610PMT-REF-001                   000000101000CRINV-2027-9001         Standard Corp 1               
20TX-2027-030720260610PMT-AI-307                    000001114000CRINV-AI-9307           Delta Corp 307                
20TX-2027-030820260610PMT-AI-308                    000001116000CRINV-AI-9308           Delta Corp 308                
20TX-2027-030920260610PMT-AI-309                    000001118000CRINV-AI-9309           Delta Corp 309                
20TX-2027-031020260610PMT-AI-310                    000001120000CRINV-AI-9310           Delta Corp 310                
20TX-2027-031120260610PMT-AI-311                    000001073200CRINV-AI-9311           Transit Supplier 311          
20TX-2027-031220260610PMT-AI-312                    000001074400CRINV-AI-9312           Transit Supplier 312          
20TX-2027-031320260610PMT-AI-313                    000001075600CRINV-AI-9313           Transit Supplier 313          
20TX-2027-031420260610PMT-AI-314                    000001076800CRINV-AI-9314           Transit Supplier 314          
20TX-2027-031520260610PMT-AI-315                    000001078000CRINV-AI-9315           Transit Supplier 315          
20TX-2027-031620260610PMT-AI-316                    000001079200CRINV-AI-9316           Transit Supplier 316          
20TX-2027-031720260610PMT-AI-317                    000001080400CRINV-AI-9317           Transit Supplier 317          
20TX-2027-031820260610PMT-AI-318                    000001081600CRINV-AI-9318           Transit Supplier 318          
20TX-2027-031920260610PMT-AI-319                    000001082800CRINV-AI-9319           Transit Supplier 319          
20TX-2027-032020260610PMT-AI-320                    000001084000CRINV-AI-9320           Transit Supplier 320          
20TX-2027-032120260610PMT-AI-321                    000001085200CRINV-AI-9321           Transit Supplier 321          
20TX-2027-032220260610PMT-AI-322                    000001086400CRINV-AI-9322           Transit Supplier 322          
20TX-2027-032320260610PMT-AI-323                    000001087600CRINV-AI-9323           Transit Supplier 323          
20TX-2027-032420260610PMT-AI-324                    000001088800CRINV-AI-9324           Transit Supplier 324          
20TX-2027-032520260610PMT-AI-325                    000001090000CRINV-AI-9325           Transit Supplier 325          
20TX-2027-032620260610PMT-AI-326                    000001091200CRINV-AI-9326           Transit Supplier 326          
20TX-2027-032720260610PMT-AI-327                    000001092400CRINV-AI-9327           Transit Supplier 327          
20TX-2027-032820260610PMT-AI-328                    000001093600CRINV-AI-9328           Transit Supplier 328          
20TX-2027-032920260610PMT-AI-329                    000001094800CRINV-AI-9329           Transit Supplier 329          
20TX-2027-033020260610PMT-AI-330                    000001096000CRINV-AI-9330           Transit Supplier 330          
20TX-2027-033120260610PMT-AI-331                    000001097200CRINV-AI-9331           Transit Supplier 331          
20TX-2027-033220260610PMT-AI-332                    000001098400CRINV-AI-9332           Transit Supplier 332          
20TX-2027-033320260610PMT-AI-333                    000001099600CRINV-AI-9333           Transit Supplier 333          
20TX-2027-033420260610PMT-AI-334                    000001100800CRINV-AI-9334           Transit Supplier 334          
20TX-2027-033520260610PMT-AI-335                    000001102000CRINV-AI-9335           Transit Supplier 335          
20TX-2027-033620260610PMT-AI-336                    000001103200CRINV-AI-9336           Transit Supplier 336          
20TX-2027-033720260610PMT-AI-337                    000001104400CRINV-AI-9337           Transit Supplier 337          
20TX-2027-033820260610PMT-AI-338                    000001105600CRINV-AI-9338           Transit Supplier 338          
20TX-2027-033920260610PMT-AI-339                    000001106800CRINV-AI-9339           Transit Supplier 339          
20TX-2027-034020260610PMT-AI-340                    000001108000CRINV-AI-9340           Transit Supplier 340          
20TX-2027-034120260610PMT-AI-341                    000001109200CRINV-AI-9341           Transit Supplier 341          
20TX-2027-034220260610PMT-AI-342                    000001110400CRINV-AI-9342           Transit Supplier 342          
20TX-2027-034320260610PMT-AI-343                    000001111600CRINV-AI-9343           Transit Supplier 343          
20TX-2027-034420260610PMT-AI-344                    000001112800CRINV-AI-9344           Transit Supplier 344          
20TX-2027-034520260610PMT-AI-345                    000001114000CRINV-AI-9345           Transit Supplier 345          
20TX-2027-034620260610PMT-AI-346                    000001115200CRINV-AI-9346           Transit Supplier 346          
20TX-2027-034720260610PMT-AI-347                    000001116400CRINV-AI-9347           Transit Supplier 347          
20TX-2027-034820260610PMT-AI-348                    000001117600CRINV-AI-9348           Transit Supplier 348          
20TX-2027-034920260610PMT-AI-349                    000001118800CRINV-AI-9349           Transit Supplier 349          
20TX-2027-035020260610PMT-AI-350                    000001120000CRINV-AI-9350           Transit Supplier 350          
99000350
